n,총비용,단위비용,허브
14,10798395.313551024,74.35803376812959,"가락시장, 교대, 구로, 독산, 불광, 서울역, 수서, 신답, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로"
15,10717783.559330612,73.80293911115704,"가락시장, 교대, 구로, 독산, 불광, 서울역, 수서, 신답, 신설동, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로"
16,10669278.234032668,73.46893016707695,"가락시장, 교대, 구로, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로"
17,10657055.41103245,73.38476348684331,"가락시장, 교대, 구로, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신용산, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로"
18,10640331.854249151,73.26960463555962,"가락시장, 교대, 구로, 구의, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신용산, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로"
19,10644331.854198042,73.29714874027478,"가락시장, 교대, 구로, 구의, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신용산, 신이문, 양천구청, 오금, 창동, 청량리, 총신대입구, 충정로"
20,10656551.85431217,73.38129598204065,"가락시장, 교대, 구로, 구의, 대방, 독산, 동대입구, 불광, 서울역, 수서, 신답, 신설동, 신용산, 신이문, 양천구청, 오금, 창동, 청량리, 총신대입구, 충정로"
21,10662184.472213453,73.4200823368596,"가락시장, 광운대, 교대, 구로, 구의, 대방, 도봉산, 독산, 불광, 서울역, 석계, 수서, 신답, 신설동, 신용산, 양천구청, 오금, 창동, 청량리, 총신대입구, 충정로"
22,10674404.472158803,73.50422957746325,"가락시장, 광운대, 교대, 구로, 구의, 대방, 도봉산, 독산, 동대입구, 불광, 서울역, 석계, 수서, 신답, 신설동, 신용산, 양천구청, 오금, 창동, 청량리, 총신대입구, 충정로"
