케이스,n,총비용,단위비용,라스트마일,철도운행,철도하역,심도,고정비,허브
"A. 현행(라스트마일 편도, 철도 최원허브 편도)",14,5980929.208485922,41.1848356293543,4414948.322405961,142800.0,87132.98207999999,357874.88259315595,978173.0214068055,"가락시장, 광운대, 구로, 노원, 대방, 도곡, 독산, 불광, 서울역, 수서, 신답, 양천구청, 총신대입구, 충정로"
B. 라스트마일 왕복(2*dist),19,10162692.629293159,69.98056838647072,7977891.4607266635,175700.0,87132.98148000002,437642.92284983996,1484325.2642366504,"가락시장, 교대, 구로, 구의, 노원, 대방, 독산, 불광, 서울역, 석계, 수서, 신답, 신설동, 신용산, 아현, 양천구청, 오금, 창동, 총신대입구"
C. 철도 왕복(최원허브 x2),13,6106977.214018372,42.05280550632533,4535274.256623247,232400.0,87132.98154,340223.66803332,911946.3078218055,"가락시장, 광운대, 교대, 구로, 대방, 불광, 서울역, 수서, 신답, 양천구청, 창동, 총신대입구, 충정로"
D. 철도 = 레이끝 왕복(상수),14,6742718.779966101,46.43053862832189,4398593.9607358435,910000.0,87132.98214000001,342290.48235012,1004701.3547401387,"가락시장, 광운대, 교대, 구로, 노원, 대방, 독산, 불광, 서울역, 수서, 신답, 양천구청, 총신대입구, 충정로"
E. 라스트마일 왕복 + 철도 왕복,18,10332154.529523114,71.14748748267175,8059800.421537953,305200.0,87132.98148000002,433176.69560184,1446844.4309033172,"가락시장, 교대, 구로, 구의, 노원, 대방, 독산, 불광, 서울역, 석계, 수서, 신답, 신설동, 신용산, 양천구청, 오금, 창동, 총신대입구"
