안,설치비_억,n,총비용,단위비용,고정비,설치비분,임대료분,지상역수,지상역비율,코레일1호선수,허브
A,1,18,10859509.936530747,74.778870667252,1651821.7797617652,219178.08219178085,1432643.6975699842,4,0.2222222222222222,5,"가락시장, 교대, 구로, 구의, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신용산, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로"
A,3,16,11244620.699822268,77.43075349889509,1895008.2299900753,575342.4657534247,1319665.7642366507,4,0.25,5,"가락시장, 교대, 구로, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로"
A,5,16,11628182.343659222,80.07196905328365,2278569.873825692,958904.1095890413,1319665.764236651,4,0.25,5,"가락시장, 교대, 구로, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로"
