ID,허브,트럭번호,방문순서,방문행정동수,경로거리_km
S25,양천구청,4,독산2동 -> 시흥4동 -> 독산4동 -> 가리봉동,4,16.27
S25,양천구청,5,미성동 -> 시흥3동 -> 독산1동,3,22.31
S25,양천구청,6,대림2동 -> 독산3동,2,13.63
S25,양천구청,7,구로3동 -> 신사동 -> 대림1동,3,14.34
S25,양천구청,8,개봉1동,1,4.58
S25,양천구청,9,가양2동 -> 가양1동,2,17.86
S25,양천구청,10,우장산동 -> 화곡6동 -> 가양3동,3,14.63
S25,양천구청,11,양평1동 -> 도림동,2,10.07
S25,양천구청,12,방화2동 -> 방화3동,2,24.98
S25,양천구청,13,가양1동,1,16.3
S25,양천구청,14,발산1동 -> 방화1동,2,18.74
S25,양천구청,15,발산1동,1,13.88
S25,양천구청,16,독산1동,1,13.77
S25,양천구청,17,대방동 -> 신길5동,2,13.89
S25,양천구청,18,신길7동 -> 당산2동 -> 합정동,3,19.74
S25,양천구청,19,염창동,1,11.85
S25,양천구청,20,신월5동 -> 등촌3동,2,15.52
S25,양천구청,21,가산동,1,11.41
S25,양천구청,22,가산동,1,11.41
S25,양천구청,23,가산동,1,11.41
S25,양천구청,24,신대방1동 -> 조원동,2,13.32
S25,양천구청,25,신대방2동 -> 신길6동,2,13.66
S25,양천구청,26,우장산동,1,11.09
S25,양천구청,27,신길1동 -> 영등포본동,2,12.72
S25,양천구청,28,당산2동,1,10.35
S25,양천구청,29,신월1동 -> 화곡3동,2,10.91
S25,양천구청,30,목5동 -> 양평2동,2,10.71
S25,양천구청,31,영등포동,1,9.83
S25,양천구청,32,구로3동,1,9.81
S25,양천구청,33,신월4동 -> 목2동,2,12.42
S25,양천구청,34,화곡본동,1,9.13
S25,양천구청,35,오류2동,1,8.75
S25,양천구청,36,등촌2동 -> 화곡4동,2,9.47
S25,양천구청,37,목4동 -> 목3동,2,8.7
S25,양천구청,38,구로4동 -> 대림3동 -> 신도림동,3,9.62
S25,양천구청,39,구로2동 -> 신길3동,2,10.94
