시나리오,D_TRUNK_km,VKT_A_km_일,VKT_B_km_일,VKT_절감_km_일,VKT_절감률,CO2_A_kg_일,CO2_B_kg_일,CO2_절감_kg_일,CO2_절감률,연간_VKT_절감_km,연간_CO2_절감_톤,승용차_환산_대,소나무_환산_그루,간선진입트럭_감소_대_일
S39,20,44253,5929,38324,0.866,14253,2155,12098,0.8488,13988224,4415.66,1839.9,669039,933
S39,30,62913,5929,56984,0.9058,20263,2155,18108,0.8936,20799124,6609.31,2753.9,1001411,933
S39,40,81573,5929,75644,0.9273,26273,2155,24118,0.918,27610024,8802.96,3667.9,1333783,933
S39,50,100233,5929,94304,0.9409,32283,2155,30128,0.9332,34420924,10996.62,4581.9,1666154,933
SMAX,20,79276,14085,65191,0.8223,25533,4904,20629,0.8079,23794678,7529.64,3137.4,1140855,1595
SMAX,30,111176,14085,97091,0.8733,35807,4904,30904,0.863,35438178,11279.78,4699.9,1709058,1595
SMAX,40,143076,14085,128991,0.9016,46082,4904,41178,0.8936,47081678,15029.92,6262.5,2277260,1595
SMAX,50,174976,14085,160891,0.9195,56356,4904,51452,0.913,58725178,18780.06,7825.0,2845463,1595
