구분,ID,칸,운행,분담률,필요물량,허브개수,총비용,단위비용
비용효율 최적,S39,4,5,12%,145222,18,10640332,73.3
환경효과 최대,SMAX,4,5,22.9%,277131,27,24010991,86.6
