인입선_편도분,실행가능,n,총비용,단위비용,허브,구로_선정,수서_선정,양천구청_선정,L0허브조합_유효처리량,L0허브조합_성립,수요
0.0,True,18,10708685.422542686,73.74028910225668,"가락시장, 구로, 대방, 도곡, 독산, 불광, 서울역, 서초, 수서, 신답, 신설동, 신용산, 신이문, 압구정, 양천구청, 오금, 창동, 총신대입구",True,True,True,218543,True,145222
3.0,True,17,10976146.439380787,75.58203268954212,"가락시장, 교대, 구로, 구의, 낙성대, 대방, 방배, 불광, 서울역, 수서, 신답, 신설동, 신이문, 양천구청, 오금, 창동, 충정로",True,True,True,188993,True,145222
5.0,True,16,10786771.287274206,74.27799041786174,"가락시장, 교대, 구로, 구의, 대방, 독산, 불광, 서울역, 수서, 신이문, 아현, 양천구청, 오금, 용두, 창동, 총신대입구",True,True,True,196943,True,145222
