설치비_억,일설치비,실행가능,n,총비용,단위비용,고정비,임대료분,설치비분,설치비비중,총사업비_억,허브
0,0,True,18,10640331.854295809,73.2696046358809,1432643.697569984,1432643.697569984,0.0,0.0,0,"가락시장, 교대, 구로, 구의, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신용산, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로"
1,13699,True,18,10886907.196722314,74.9675289205688,1679219.0400357377,1432643.6975699842,246575.34246575343,0.02264879621091921,18,"가락시장, 교대, 구로, 구의, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신용산, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로"
3,41096,True,16,11326812.480491422,77.99672825949587,1977200.0108119934,1319665.764236651,657534.2465753425,0.058051128480129555,48,"가락시장, 교대, 구로, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로"
5,68493,True,16,11825829.4181656,81.43297199988575,2469060.508528888,1373170.0975699842,1095890.410958904,0.09266922193850624,80,"가락시장, 교대, 구로, 구의, 대방, 독산, 불광, 서울역, 수서, 신설동, 신이문, 양천구청, 오금, 용두, 창동, 총신대입구"
10,136986,True,12,12683223.894669013,87.33701288607583,2535025.459384745,891189.8429463888,1643835.6164383562,0.12960708019427852,120,"가락시장, 교대, 구로, 불광, 서울역, 수서, 신답, 신이문, 양천구청, 창동, 총신대입구, 충정로"
20,273973,True,11,14309504.034948077,98.53562064917156,3797369.0730833756,783670.4429463893,3013698.6301369863,0.21060818200104178,220,"가락시장, 교대, 구로, 불광, 수서, 신답, 신이문, 양천구청, 창동, 총신대입구, 충정로"
