시나리오,ID,칸,운행,분담률,필요물량_박스일,허브개수,허브목록,총비용_원일,단위비용_원박스,라스트마일비중,철도비중,심도비중,고정비비중
비용효율 최적(S39),S39,4,5,12.0%,145222,18,"가락시장, 교대, 구로, 구의, 대방, 독산, 불광, 서울역, 수서, 신답, 신설동, 신용산, 신이문, 양천구청, 오금, 창동, 총신대입구, 충정로",10640332,73.3,75.9%,6.9%,3.9%,13.3%
환경효과 최대(SMAX),SMAX,4,5,22.9%,277131,27,"가락시장, 개봉, 경찰병원, 광운대, 구로, 노원, 녹번, 대방, 독산, 매봉, 불광, 상계, 서울역, 서초, 수서, 신답, 신설동, 신이문, 신정네거리, 아현, 양천구청, 오금, 용답, 용두, 창동, 총신대입구, 충정로",24010991,86.6,83.1%,4.5%,3.1%,9.3%
